Kabupaten/Kota,,,,,,,
,[SERI 2010] PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran Kabupaten/Kota (Milyar Rupiah),,,,,,
,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Puncak,1528.94,24.45,675.15,1051.67,0.67,-1508.76,1772.12
Puncak Jaya,1632.45,64.15,773.83,781.89,0.11,-1588.54,1663.89
Nduga,1238.23,6.68,563.76,993.36,-1.53,-1170.96,1629.54
Jayawijaya,9626.01,101.8,2326.04,5369.59,-132.44,-5843,11448.01
Lanny Jaya,2045.45,43.43,831.7,1185.69,-17.01,-1596.18,2493.09
Tolikara,1826.17,31.33,916.63,995.57,-19.03,-1575.13,2175.55
Mamberamo Tengah,1309.65,16.73,620.71,857.06,1.52,-1251.62,1554.03
Yalimo,1302.85,15.91,543.57,857.18,-2.19,-1008.52,1708.8
Yahukimo,2480.91,27.19,1164.47,1661.62,-18.4,-2158.54,3157.26
Pegunungan Bintang,2085.93,28.1,726.92,1092.38,-22.58,-1382.92,2527.83
